gkz,name,wb,abgegeben,gültig,ungültig,oevp,spoe,fpoe,neos,pilz,gruene,gilt,kpoe,weisse,floe,nbz,odp,slp,euaus,cpoe,m
10101,Eisenstadt,10628,7546,7482,64,3037,1862,1521,351,314,283,52,48,5,9,0,0,0,0,0,0
10201,Rust,1564,1116,1107,9,330,369,309,36,24,25,11,3,0,0,0,0,0,0,0,0
10301,Breitenbrunn am Neusiedler See,1598,1199,1184,15,356,408,264,40,74,28,10,3,0,1,0,0,0,0,0,0
10302,Donnerskirchen,1520,1157,1145,12,427,312,310,28,28,24,10,3,2,1,0,0,0,0,0,0
10303,Großhöflein,1661,1293,1279,14,484,371,306,37,40,26,3,6,0,6,0,0,0,0,0,0
10304,Hornstein,2324,1708,1688,20,491,613,387,43,71,40,26,13,3,1,0,0,0,0,0,0
10305,Klingenbach,898,721,711,10,188,331,149,11,14,7,7,0,3,1,0,0,0,0,0,0
10306,Leithaprodersdorf,948,786,778,8,394,165,152,27,16,16,6,2,0,0,0,0,0,0,0,0
10307,Mörbisch am See,1829,1455,1444,11,424,513,406,38,22,22,13,5,1,0,0,0,0,0,0,0
10308,Müllendorf,1139,885,872,13,258,304,208,41,38,13,5,4,0,1,0,0,0,0,0,0
10309,Neufeld an der Leitha,2565,1981,1961,20,414,804,540,64,81,27,17,8,1,5,0,0,0,0,0,0
10310,Oggau am Neusiedler See,1471,1203,1190,13,425,417,278,21,24,16,1,3,1,4,0,0,0,0,0,0
10311,Oslip,1023,836,828,8,290,325,153,18,11,21,4,5,1,0,0,0,0,0,0,0
10312,Purbach am Neusiedler See,2364,1845,1828,17,622,528,513,46,62,36,10,5,4,2,0,0,0,0,0,0
10313,Sankt Margarethen im Burgenland,2294,1797,1772,25,670,463,487,56,40,33,13,9,1,0,0,0,0,0,0,0
10314,Schützen am Gebirge,1107,894,880,14,396,241,177,27,20,15,1,1,1,1,0,0,0,0,0,0
10315,Siegendorf,2223,1710,1691,19,308,868,376,51,42,28,14,3,0,1,0,0,0,0,0,0
10316,Steinbrunn,2027,1610,1602,8,414,605,416,69,40,30,19,7,1,1,0,0,0,0,0,0
10317,Trausdorf an der Wulka,1662,1281,1271,10,368,469,304,31,49,32,8,9,1,0,0,0,0,0,0,0
10318,Wimpassing an der Leitha,1163,899,890,9,253,234,290,44,32,17,15,3,1,1,0,0,0,0,0,0
10319,Wulkaprodersdorf,1478,1163,1150,13,380,448,190,23,51,39,9,7,2,1,0,0,0,0,0,0
10320,Loretto,399,305,304,1,99,92,84,11,11,4,2,0,1,0,0,0,0,0,0,0
10321,Stotzing,652,529,522,7,192,172,131,13,6,2,4,1,1,0,0,0,0,0,0,0
10322,Zillingtal,747,552,546,6,156,182,136,24,23,10,10,3,0,2,0,0,0,0,0,0
10323,Zagersdorf,813,617,607,10,225,235,107,15,9,4,5,4,1,2,0,0,0,0,0,0
10401,Bocksdorf,690,527,519,8,141,199,144,5,13,7,6,3,0,1,0,0,0,0,0,0
10402,Burgauberg-Neudauberg,1093,802,792,10,271,226,248,13,16,15,2,0,0,1,0,0,0,0,0,0
10403,Eberau,739,557,555,2,275,121,119,13,12,13,1,0,0,1,0,0,0,0,0,0
10404,Gerersdorf-Sulz,833,641,639,2,279,197,128,9,8,14,3,0,0,1,0,0,0,0,0,0
10405,Güssing,2980,2065,2050,15,815,614,479,51,48,31,10,1,1,0,0,0,0,0,0,0
10406,Güttenbach,729,574,564,10,250,166,92,19,9,21,5,1,0,1,0,0,0,0,0,0
10407,Heiligenbrunn,669,489,485,4,229,122,105,9,7,8,2,2,0,1,0,0,0,0,0,0
10408,Kukmirn,1650,1212,1207,5,433,316,361,23,46,16,7,2,3,0,0,0,0,0,0,0
10409,Neuberg im Burgenland,844,647,637,10,233,227,144,7,15,2,5,1,1,2,0,0,0,0,0,0
10410,Neustift bei Güssing,429,318,318,0,60,132,106,4,6,7,3,0,0,0,0,0,0,0,0,0
10411,Olbendorf,1226,910,898,12,174,377,288,24,10,13,9,3,0,0,0,0,0,0,0,0
10412,Ollersdorf im Burgenland,825,664,662,2,234,215,160,19,22,6,3,2,1,0,0,0,0,0,0,0
10413,Sankt Michael im Burgenland,812,630,622,8,252,160,171,15,13,9,2,0,0,0,0,0,0,0,0,0
10414,Stegersbach,2066,1486,1470,16,434,508,395,41,49,25,10,6,1,1,0,0,0,0,0,0
10415,Stinatz,963,757,745,12,214,393,90,18,14,13,2,1,0,0,0,0,0,0,0,0
10416,Strem,752,579,572,7,284,111,146,6,11,11,0,1,2,0,0,0,0,0,0,0
10417,Tobaj,1101,843,835,8,359,167,247,19,18,17,5,2,1,0,0,0,0,0,0,0
10418,Hackerberg,293,229,229,0,94,73,53,3,2,1,2,1,0,0,0,0,0,0,0,0
10419,Wörterberg,391,301,299,2,90,92,85,14,9,7,0,2,0,0,0,0,0,0,0,0
10420,Großmürbisch,214,163,161,2,77,55,17,3,3,5,0,1,0,0,0,0,0,0,0,0
10421,Inzenhof,267,210,206,4,61,76,63,2,2,2,0,0,0,0,0,0,0,0,0,0
10422,Kleinmürbisch,206,151,151,0,60,51,35,0,3,1,0,1,0,0,0,0,0,0,0,0
10423,Tschanigraben,51,37,37,0,5,25,6,0,0,1,0,0,0,0,0,0,0,0,0,0
10424,Heugraben,191,156,151,5,65,45,37,2,2,0,0,0,0,0,0,0,0,0,0,0
10425,Rohr im Burgenland,340,264,264,0,84,82,81,7,2,1,4,2,0,1,0,0,0,0,0,0
10426,Bildein,264,213,212,1,132,21,46,4,6,2,0,0,1,0,0,0,0,0,0,0
10427,Rauchwart,378,303,300,3,64,118,110,1,2,2,3,0,0,0,0,0,0,0,0,0
10428,Moschendorf,333,280,278,2,149,64,54,4,2,4,1,0,0,0,0,0,0,0,0,0
10501,Deutsch Kaltenbrunn,1452,1078,1069,9,312,340,334,19,26,19,8,7,2,2,0,0,0,0,0,0
10502,Eltendorf,791,575,570,5,180,163,188,12,11,11,3,1,0,1,0,0,0,0,0,0
10503,Heiligenkreuz im Lafnitztal,977,695,691,4,214,193,239,13,12,16,3,0,1,0,0,0,0,0,0,0
10504,Jennersdorf,3502,2425,2412,13,830,466,893,66,66,63,13,8,3,4,0,0,0,0,0,0
10505,Minihof-Liebau,890,680,678,2,183,203,237,23,12,8,10,1,1,0,0,0,0,0,0,0
10506,Mogersdorf,923,706,703,3,190,245,211,17,16,14,6,1,1,2,0,0,0,0,0,0
10507,Neuhaus am Klausenbach,778,548,539,9,210,117,172,11,16,7,3,1,2,0,0,0,0,0,0,0
10508,Rudersdorf,1834,1386,1369,17,494,368,391,32,48,17,10,9,0,0,0,0,0,0,0,0
10509,Sankt Martin an der Raab,1686,1320,1300,20,435,353,401,28,29,31,15,4,2,2,0,0,0,0,0,0
10510,Weichselbaum,601,443,442,1,174,109,133,3,14,5,1,3,0,0,0,0,0,0,0,0
10511,Königsdorf,611,462,457,5,149,142,148,5,7,4,2,0,0,0,0,0,0,0,0,0
10512,Mühlgraben,336,266,262,4,55,104,82,6,6,5,4,0,0,0,0,0,0,0,0,0
10601,Draßburg,923,697,691,6,120,395,128,16,12,6,7,6,1,0,0,0,0,0,0,0
10602,Forchtenstein,2302,1741,1728,13,559,566,468,49,46,22,13,0,3,2,0,0,0,0,0,0
10603,Hirm,744,598,591,7,125,304,128,7,9,12,3,3,0,0,0,0,0,0,0,0
10604,Loipersbach im Burgenland,985,776,764,12,142,316,251,14,24,9,5,3,0,0,0,0,0,0,0,0
10605,Marz,1643,1287,1273,14,451,423,284,39,34,29,4,5,1,3,0,0,0,0,0,0
10606,Mattersburg,5689,4132,4089,43,1219,1385,1036,133,151,100,31,18,5,11,0,0,0,0,0,0
10607,Neudörfl,3408,2451,2416,35,570,907,693,88,90,42,12,6,3,5,0,0,0,0,0,0
10608,Pöttelsdorf,610,427,424,3,163,125,88,17,11,12,7,1,0,0,0,0,0,0,0,0
10609,Pöttsching,2369,1844,1826,18,514,651,454,60,72,41,13,14,6,1,0,0,0,0,0,0
10610,Rohrbach bei Mattersburg,2179,1663,1636,27,506,642,359,38,43,20,8,5,1,14,0,0,0,0,0,0
10611,Bad Sauerbrunn,1732,1263,1251,12,351,369,322,58,82,45,19,3,2,0,0,0,0,0,0,0
10612,Schattendorf,1950,1515,1486,29,331,725,325,30,28,31,9,6,1,0,0,0,0,0,0,0
10613,Sieggraben,1016,787,778,9,279,224,233,17,13,3,7,1,0,1,0,0,0,0,0,0
10614,Sigleß,970,794,788,6,189,367,156,31,17,17,8,3,0,0,0,0,0,0,0,0
10615,Wiesen,2193,1704,1684,20,697,348,474,56,72,20,8,5,1,3,0,0,0,0,0,0
10616,Antau,613,471,469,2,188,114,134,7,15,6,4,1,0,0,0,0,0,0,0,0
10617,Baumgarten,708,548,544,4,140,279,71,16,21,14,1,1,1,0,0,0,0,0,0,0
10618,Zemendorf-Stöttera,992,781,779,2,343,247,141,20,13,6,9,0,0,0,0,0,0,0,0,0
10619,Krensdorf,488,416,408,8,153,137,97,11,4,5,1,0,0,0,0,0,0,0,0,0
10701,Andau,1937,1589,1574,15,473,595,453,17,15,12,2,2,3,2,0,0,0,0,0,0
10702,Apetlon,1542,1220,1208,12,473,376,303,20,14,10,6,3,2,1,0,0,0,0,0,0
10703,Bruckneudorf,2278,1658,1645,13,329,585,545,69,51,33,25,4,4,0,0,0,0,0,0,0
10704,Deutsch Jahrndorf,448,369,364,5,107,133,106,5,7,1,1,1,3,0,0,0,0,0,0,0
10705,Frauenkirchen,2363,1752,1731,21,517,621,456,54,33,27,13,8,2,0,0,0,0,0,0,0
10706,Gattendorf,944,750,744,6,232,245,219,16,14,4,4,5,3,2,0,0,0,0,0,0
10707,Gols,3076,2372,2350,22,629,743,716,75,68,75,27,7,7,3,0,0,0,0,0,0
10708,Halbturn,1575,1276,1256,20,544,300,306,28,27,30,7,11,2,1,0,0,0,0,0,0
