;Gebietsname;Wahlberechtigte;Abgegebene;Ungültige;Gültige;ÖVP;SPÖ;FPÖ;NEOS;JETZT;GRÜNE;KPÖ;WANDL;BZÖ;BIER;CPÖ;GILT;SLP;
G00000;Österreich;6396812;4835469;58223;4777246;1789417;1011868;772666;387124;89169;664055;32736;22168;760;4946;260;1767;310;
G10000;Burgenland;233182;189911;2850;187061;71566;54965;32448;9130;2351;15113;739;489;;;260;;;
G10099;Wahlkarten - Burgenland;0;1;1;0;0;0;0;0;0;0;0;0;;;0;;;
G1A000;Burgenland Nord;123715;100813;1539;99274;37009;28872;16466;5590;1396;9084;411;292;;;154;;;
G1A099;Wahlkarten - Burgenland Nord;0;359;1;358;86;58;57;44;14;87;7;4;;;1;;;
G1B000;Burgenland Süd;109467;89097;1310;87787;34557;26093;15982;3540;955;6029;328;197;;;106;;;
G1B099;Wahlkarten - Burgenland Süd;0;359;5;354;86;56;59;39;12;98;1;2;;;1;;;
G10100;Eisenstadt Stadt;10798;8574;89;8485;3523;1685;1162;654;142;1220;39;39;;;21;;;
G10101;Eisenstadt;10798;7192;78;7114;2966;1450;1023;535;120;944;28;27;;;21;;;
G10199;Wahlkarten - Eisenstadt Stadt;0;1382;11;1371;557;235;139;119;22;276;11;12;;;0;;;
G10200;Rust Stadt;1594;1276;21;1255;424;389;239;69;15;106;5;5;;;3;;;
G10201;Rust;1594;1055;18;1037;355;315;209;52;12;82;5;4;;;3;;;
G10299;Wahlkarten - Rust Stadt;0;221;3;218;69;74;30;17;3;24;0;1;;;0;;;
G10300;Eisenstadt - Umgebung;34307;28264;448;27816;10317;8572;4327;1482;410;2478;114;82;;;34;;;
G10301;Breitenbrunn am Neusiedler See;1582;1137;27;1110;376;331;149;77;38;132;5;2;;;0;;;
G10302;Donnerskirchen;1535;1076;17;1059;470;242;200;60;13;67;6;1;;;0;;;
G10303;Großhöflein;1676;1164;25;1139;487;271;183;67;7;115;4;5;;;0;;;
G10304;Hornstein;2397;1647;34;1613;515;538;267;89;30;151;13;8;;;2;;;
G10305;Klingenbach;870;635;9;626;202;279;86;12;8;30;2;7;;;0;;;
G10306;Leithaprodersdorf;965;710;11;699;396;115;87;46;12;39;0;3;;;1;;;
G10307;Mörbisch am See;1821;1347;21;1326;450;449;262;48;14;92;2;5;;;4;;;
G10308;Müllendorf;1146;868;16;852;328;273;108;42;22;68;2;7;;;2;;;
G10309;Neufeld an der Leitha;2642;1868;28;1840;525;610;343;121;27;191;15;8;;;0;;;
G10310;Oggau am Neusiedler See;1471;1149;25;1124;420;396;164;50;10;73;4;1;;;6;;;
G10311;Oslip;1021;751;14;737;261;268;90;28;13;72;2;2;;;1;;;
G10312;Purbach am Neusiedler See;2387;1597;25;1572;680;364;283;90;16;127;3;5;;;4;;;
G10313;Sankt Margarethen im Burgenland;2298;1666;26;1640;714;375;303;72;28;140;5;1;;;2;;;
G10314;Schützen am Gebirge;1108;849;18;831;392;217;112;43;7;54;0;4;;;2;;;
G10315;Siegendorf;2270;1634;29;1605;376;714;259;65;26;153;9;2;;;1;;;
G10316;Steinbrunn;2099;1503;16;1487;473;528;249;84;20;120;8;4;;;1;;;
G10317;Trausdorf an der Wulka;1658;1150;11;1139;409;397;171;48;21;86;3;2;;;2;;;
G10318;Wimpassing an der Leitha;1226;851;12;839;343;187;172;59;8;67;2;1;;;0;;;
G10319;Wulkaprodersdorf;1486;1123;24;1099;426;371;105;46;20;125;5;1;;;0;;;
G10320;Loretto;411;283;1;282;110;78;48;16;10;18;2;0;;;0;;;
G10321;Stotzing;645;470;8;462;203;126;76;31;3;21;1;0;;;1;;;
G10322;Zillingtal;761;527;7;520;169;163;84;32;9;60;3;0;;;0;;;
G10323;Zagersdorf;832;595;9;586;234;213;73;25;5;30;3;1;;;2;;;
G10399;Wahlkarten - Eisenstadt - Umgebung;0;3664;35;3629;1358;1067;453;231;43;447;15;12;;;3;;;
G10400;Güssing;21151;17336;227;17109;7357;4935;2828;636;147;1087;59;39;;;21;;;
G10401;Bocksdorf;674;488;4;484;157;177;104;18;7;19;2;0;;;0;;;
G10402;Burgauberg-Neudauberg;1097;771;13;758;329;183;163;27;4;44;4;2;;;2;;;
G10403;Eberau;722;495;7;488;274;93;68;20;5;25;2;1;;;0;;;
G10404;Gerersdorf-Sulz;834;601;4;597;282;171;83;16;3;42;0;0;;;0;;;
G10405;Güssing;2954;1969;33;1936;876;508;314;92;21;116;5;0;;;4;;;
G10406;Güttenbach;725;510;10;500;251;132;61;19;5;31;1;0;;;0;;;
G10407;Heiligenbrunn;651;455;7;448;252;107;66;5;1;14;2;1;;;0;;;
G10408;Kukmirn;1651;1122;21;1101;459;259;224;50;15;79;9;6;;;0;;;
G10409;Neuberg im Burgenland;833;576;6;570;257;183;73;21;2;30;2;1;;;1;;;
G10410;Neustift bei Güssing;412;268;3;265;71;115;56;6;2;12;2;0;;;1;;;
G10411;Olbendorf;1200;836;19;817;222;328;185;25;5;41;6;2;;;3;;;
G10412;Ollersdorf im Burgenland;805;649;10;639;262;206;95;21;6;39;2;5;;;3;;;
G10413;Sankt Michael im Burgenland;811;617;9;608;302;136;106;29;4;29;1;1;;;0;;;
G10414;Stegersbach;2091;1419;15;1404;520;432;260;65;18;95;7;2;;;5;;;
G10415;Stinatz;940;652;7;645;210;327;34;14;6;53;0;1;;;0;;;
G10416;Strem;762;537;9;528;309;85;90;17;3;21;2;0;;;1;;;
G10417;Tobaj;1112;808;9;799;403;142;166;29;7;41;6;4;;;1;;;
G10418;Hackerberg;287;203;2;201;105;58;26;2;2;8;0;0;;;0;;;
G10419;Wörterberg;396;290;3;287;116;87;47;5;3;27;0;2;;;0;;;
G10420;Großmürbisch;212;149;1;148;81;46;10;4;0;7;0;0;;;0;;;
G10421;Inzenhof;252;197;2;195;66;93;31;1;0;4;0;0;;;0;;;
G10422;Kleinmürbisch;205;134;3;131;61;46;21;0;0;2;0;1;;;0;;;
G10423;Tschanigraben;54;38;1;37;10;21;5;0;0;1;0;0;;;0;;;
G10424;Heugraben;187;152;1;151;63;49;32;4;0;3;0;0;;;0;;;
G10425;Rohr im Burgenland;327;241;1;240;110;63;50;7;1;8;0;1;;;0;;;
G10426;Bildein;261;214;1;213;134;25;36;3;0;14;1;0;;;0;;;
G10427;Rauchwart;371;279;8;271;82;102;71;2;2;9;0;3;;;0;;;
G10428;Moschendorf;325;257;4;253;148;56;34;1;1;13;0;0;;;0;;;
G10499;Wahlkarten - Güssing;0;2409;14;2395;945;705;317;133;24;260;5;6;;;0;;;
G10500;Jennersdorf;14311;11323;166;11157;4526;2669;2366;460;147;890;58;30;;;11;;;
G10501;Deutsch Kaltenbrunn;1470;965;19;946;339;280;191;38;12;78;4;3;;;1;;;
G10502;Eltendorf;791;533;5;528;207;135;126;17;6;34;0;2;;;1;;;
G10503;Heiligenkreuz im Lafnitztal;966;632;8;624;262;173;131;16;7;30;2;2;;;1;;;
G10504;Jennersdorf;3465;2257;32;2225;913;362;619;88;25;201;13;4;;;0;;;
G10505;Minihof-Liebau;879;633;10;623;235;161;141;37;6;35;5;2;;;1;;;
G10506;Mogersdorf;915;650;10;640;231;200;132;25;7;38;6;1;;;0;;;
G10507;Neuhaus am Klausenbach;754;498;5;493;230;111;93;14;4;33;5;2;;;1;;;
G10508;Rudersdorf;1835;1214;23;1191;520;277;227;54;14;90;3;4;;;2;;;
G10509;Sankt Martin an der Raab;1715;1277;22;1255;544;289;246;48;18;102;4;2;;;2;;;
G10510;Weichselbaum;586;447;11;436;202;113;85;8;8;16;2;2;;;0;;;
G10511;Königsdorf;611;453;6;447;181;137;89;13;7;19;0;0;;;1;;;
G10512;Mühlgraben;324;237;6;231;63;99;38;13;1;15;2;0;;;0;;;
G10599;Wahlkarten - Jennersdorf;0;1527;9;1518;599;332;248;89;32;199;12;6;;;1;;;
G10600;Mattersburg;31587;25758;400;25358;9000;8008;4230;1371;328;2222;109;63;;;27;;;
G10601;Draßburg;939;624;7;617;151;321;74;24;4;37;4;2;;;0;;;
G10602;Forchtenstein;2253;1593;20;1573;655;455;285;70;12;93;2;1;;;0;;;
G10603;Hirm;751;583;18;565;147;274;83;14;9;33;2;1;;;2;;;
G10604;Loipersbach im Burgenland;988;704;23;681;147;257;176;31;10;57;2;1;;;0;;;
G10605;Marz;1615;1208;24;1184;486;345;165;74;14;90;5;3;;;2;;;
G10606;Mattersburg;5767;3878;64;3814;1369;1090;661;220;61;374;18;14;;;7;;;
G10607;Neudörfl;3448;2331;35;2296;706;737;480;143;32;185;5;5;;;3;;;
G10608;Pöttelsdorf;621;396;5;391;162;98;56;30;2;43;0;0;;;0;;;
G10609;Pöttsching;2405;1739;19;1720;583;526;261;131;24;176;12;6;;;1;;;
G10610;Rohrbach bei Mattersburg;2130;1559;22;1537;577;550;232;58;14;99;6;1;;;0;;;
G10611;Bad Sauerbrunn;1772;1182;16;1166;370;249;233;78;28;192;8;8;;;0;;;
G10612;Schattendorf;1937;1494;36;1458;405;654;206;52;12;120;4;3;;;2;;;
G10613;Sieggraben;991;739;14;725;306;219;152;14;5;24;4;1;;;0;;;
G10614;Sigleß;964;765;5;760;238;302;102;29;10;71;5;2;;;1;;;
G10615;Wiesen;2203;1605;30;1575;706;271;354;89;20;117;9;6;;;3;;;
G10616;Antau;614;486;11;475;218;119;78;14;12;30;4;0;;;0;;;
G10617;Baumgarten;698;517;8;509;139;232;61;23;11;37;3;2;;;1;;;
G10618;Zemendorf-Stöttera;1008;712;9;703;334;209;94;25;5;34;1;1;;;0;;;
G10619;Krensdorf;483;350;8;342;159;91;61;10;3;18;0;0;;;0;;;
G10699;Wahlkarten - Mattersburg;0;3293;26;3267;1142;1009;416;242;40;392;15;6;;;5;;;
G10700;Neusiedl am See;45429;36582;580;36002;13659;10160;6451;1970;487;2971;137;99;;;68;;;
G10701;Andau;1919;1452;18;1434;511;535;299;33;8;44;1;3;;;0;;;
G10702;Apetlon;1525;1142;15;1127;499;368;170;33;8;32;1;4;;;12;;;
G10703;Bruckneudorf;2368;1532;21;1511;407;412;371;97;25;177;14;6;;;2;;;
G10704;Deutsch Jahrndorf;443;346;7;339;112;116;74;15;5;16;0;1;;;0;;;
G10705;Frauenkirchen;2350;1566;34;1532;555;503;272;66;24;100;5;2;;;5;;;
G10706;Gattendorf;951;716;12;704;269;215;147;25;7;35;6;0;;;0;;;
G10707;Gols;3133;2228;40;2188;701;611;468;122;31;231;9;12;;;3;;;
G10708;Halbturn;1594;1210;19;1191;557;265;223;59;10;64;5;6;;;2;;;
G10709;Illmitz;2053;1617;21;1596;617;598;242;51;17;66;2;0;;;3;;;
G10710;Jois;1268;895;15;880;362;220;172;47;13;52;6;4;;;4;;;
G10711;Kittsee;1508;1002;16;986;461;262;153;35;11;55;4;2;;;3;;;
G10712;Mönchhof;1828;1289;27;1262;583;284;234;58;15;73;10;3;;;2;;;
G10713;Neusiedl am See;6233;3952;57;3895;1459;803;623;360;72;544;16;11;;;7;;;
G10714;Nickelsdorf;1254;887;15;872;267;285;191;36;20;68;3;2;;;0;;;
G10715;Pama;858;656;9;647;317;220;55;19;7;26;1;2;;;0;;;
G10716;Pamhagen;1365;914;11;903;465;241;120;25;6;39;4;2;;;1;;;
G10717;Parndorf;3286;2060;39;2021;573;672;466;112;28;146;15;7;;;2;;;
G10718;Podersdorf am See;1755;1281;26;1255;640;203;190;79;22;114;1;2;;;4;;;
G10719;Sankt Andrä am Zicksee;1127;878;9;869;405;220;148;48;8;34;2;0;;;4;;;
G10720;Tadten;1009;753;8;745;351;244;84;27;4;34;1;0;;;0;;;
G10721;Wallern im Burgenland;1421;1099;25;1074;381;399;208;31;10;42;1;1;;;1;;;
G10722;Weiden am See;1933;1382;21;1361;521;277;273;116;25;147;1;0;;;1;;;
G10723;Winden am See;1077;719;18;701;236;234;117;39;14;57;2;2;;;0;;;
G10724;Zurndorf;1677;1278;32;1246;323;429;333;48;13;92;3;4;;;1;;;
G10725;Neudorf;563;399;5;394;158;128;53;19;4;31;0;0;;;1;;;
G10726;Potzneusiedl;434;324;4;320;96;113;72;13;4;18;3;1;;;0;;;
G10727;Edelstal;497;356;3;353;209;67;51;8;2;16;0;0;;;0;;;
G10799;Wahlkarten - Neusiedl am See;0;4649;53;4596;1624;1236;642;349;74;618;21;22;;;10;;;
G10800;Oberpullendorf;30701;25504;406;25098;10416;8077;3628;1024;257;1519;91;53;;;33;;;
G10801;Deutschkreutz;2522;1780;24;1756;839;455;271;79;15;84;7;3;;;3;;;
G10802;Draßmarkt;1136;847;13;834;388;265;81;39;7;49;1;3;;;1;;;
G10803;Frankenau-Unterpullendorf;922;653;7;646;289;183;69;24;9;68;3;0;;;1;;;
G10804;Großwarasdorf;1164;807;9;798;392;221;90;28;15;44;7;1;;;0;;;
G10805;Horitschon;1464;1087;16;1071;483;307;182;39;10;41;2;2;;;5;;;
G10806;Kaisersdorf;480;361;5;356;118;149;47;9;9;22;1;1;;;0;;;
G10807;Kobersdorf;1550;1172;16;1156;395;425;216;38;5;71;4;2;;;0;;;
G10808;Lackenbach;929;632;11;621;240;214;108;24;2;29;1;3;;;0;;;
G10809;Lockenhaus;1649;1133;21;1112;460;316;195;60;12;64;3;1;;;1;;;
G10810;Lutzmannsburg;704;524;4;520;235;131;93;27;10;21;3;0;;;0;;;
G10811;Mannersdorf an der Rabnitz;1477;1108;27;1081;417;353;209;38;12;49;0;2;;;1;;;
G10812;Markt Sankt Martin;990;776;17;759;307;253;113;20;9;45;5;5;;;2;;;
G10813;Neckenmarkt;1412;1069;10;1059;519;310;144;29;7;38;3;2;;;7;;;
G10814;Neutal;894;715;14;701;190;367;92;10;5;30;3;4;;;0;;;
G10815;Nikitsch;1154;812;11;801;409;224;74;40;10;41;2;0;;;1;;;
G10816;Oberpullendorf;2501;1463;29;1434;605;382;224;76;16;123;8;0;;;0;;;
G10817;Pilgersdorf;1385;1026;22;1004;533;232;135;39;10;53;2;0;;;0;;;
G10818;Piringsdorf;712;542;11;531;207;203;54;26;3;35;1;1;;;1;;;
G10819;Raiding;742;485;11;474;191;202;44;12;7;15;3;0;;;0;;;
G10820;Ritzing;747;536;12;524;175;196;92;17;7;31;5;1;;;0;;;
G10821;Steinberg-Dörfl;1041;801;18;783;356;206;117;39;14;48;1;0;;;2;;;
G10822;Stoob;1142;828;16;812;303;320;109;27;7;42;3;0;;;1;;;
G10823;Weppersdorf;1507;1124;26;1098;299;470;211;39;7;63;5;2;;;2;;;
G10824;Lackendorf;490;336;5;331;114;150;46;9;3;9;0;0;;;0;;;
G10825;Unterfrauenhaid;526;388;7;381;161;145;51;7;4;8;4;1;;;0;;;
G10826;Unterrabnitz-Schwendgraben;527;424;7;417;216;123;46;8;3;18;2;1;;;0;;;
G10827;Weingraben;277;226;0;226;83;100;17;9;1;15;1;0;;;0;;;
G10828;Oberloisdorf;657;512;16;496;188;183;78;13;5;27;0;1;;;1;;;
