"gkz_neu","Anteil","Unterschriften","pct_diff","Wahlberechtigte","Name"
10101,16.44,1761,5.3693155289943,10709,"Eisenstadt"
10201,9.95,158,3.14861460957179,1588,"Rust"
10301,15.94,251,4.25396825396825,1575,"Breitenbrunn"
10302,11.85,180,4.47662936142199,1519,"Donnerskirchen"
10303,13.67,226,4.29522081064731,1653,"Großhöflein"
10304,16.32,389,4.48825503355705,2384,"Hornstein"
10305,10.23,89,2.29885057471264,870,"Klingenbach"
10306,11.99,115,2.29405630865485,959,"Leithaprodersdorf"
10307,9.26,168,3.25248070562293,1814,"Mörbisch am See"
10308,14.93,171,5.06550218340611,1145,"Müllendorf"
10309,13.77,359,3.48926380368098,2608,"Neufeld an der Leitha"
10310,9.84,145,3.53021045485404,1473,"Oggau am Neusiedler See"
10311,14.2,145,4.79921645445642,1021,"Oslip"
10312,10.29,245,3.10924369747899,2380,"Purbach am Neusiedler See"
10313,9.58,219,2.66841644794401,2286,"Sankt Margarethen im Burgenland"
10314,13.32,147,4.2572463768116,1104,"Schützen am Gebirge"
10315,15.93,357,5.08701472556894,2241,"Siegendorf"
10316,14.72,303,5.24526469159786,2059,"Steinbrunn"
10317,14.02,234,4.9131216297184,1669,"Trausdorf an der Wulka"
10318,11.85,142,5.92654424040067,1198,"Wimpassing an der Leitha"
10319,15.09,221,4.02730375426621,1465,"Wulkaprodersdorf"
10320,13.76,56,6.38820638820639,407,"Loretto"
10321,11.93,78,6.57492354740061,654,"Stotzing"
10322,14.99,113,4.77453580901857,754,"Zillingtal"
10323,12.76,104,3.80368098159509,815,"Zagersdorf"
10401,9.73,66,3.39233038348083,678,"Bocksdorf"
10402,12.31,135,3.09936189608022,1097,"Burgauberg-Neudauberg"
10403,14.74,106,6.53685674547983,719,"Eberau"
10404,12.37,104,4.75624256837099,841,"Gerersdorf-Sulz"
10405,11.73,350,3.88609715242881,2985,"Güssing"
10406,12.45,92,3.92422192151556,739,"Güttenbach"
10407,14,91,5.53846153846154,650,"Heiligenbrunn"
10408,10.82,178,3.70820668693009,1645,"Kukmirn"
10409,13.29,112,4.38908659549229,843,"Neuberg im Burgenland"
10410,13.32,55,7.26392251815981,413,"Neustift bei Güssing"
10411,9.98,120,3.74064837905237,1203,"Olbendorf"
10412,12.11,98,4.07911001236094,809,"Ollersdorf im Burgenland"
10413,10.26,83,4.44993819530284,809,"Sankt Michael im Burgenland"
10414,12.81,267,4.12667946257198,2084,"Stegersbach"
10415,15.97,152,5.98739495798319,952,"Stinatz"
10416,10.52,81,4.02597402597403,770,"Strem"
10417,10.53,115,4.21245421245421,1092,"Tobaj"
10418,9.93,28,2.4822695035461,282,"Hackerberg"
10419,19.44,77,6.06060606060606,396,"Wörterberg"
10420,8.76,19,2.30414746543779,217,"Großmürbisch"
10421,11.74,31,4.54545454545454,264,"Inzenhof"
10422,10.73,22,5.36585365853659,205,"Kleinmürbisch"
10423,26.79,15,16.0714285714286,56,"Tschanigraben"
10424,6.67,12,1.66666666666667,180,"Heugraben"
10425,6.38,21,1.82370820668693,329,"Rohr im Burgenland"
10426,10.77,28,4.61538461538462,260,"Bildein"
10427,8.13,30,2.710027100271,369,"Rauchwart"
10428,10.88,36,3.62537764350453,331,"Moschendorf"
10501,13.27,194,3.21477428180575,1462,"Deutsch Kaltenbrunn"
10502,15.92,125,5.35031847133758,785,"Eltendorf"
10503,7.05,68,2.59067357512953,965,"Heiligenkreuz im Lafnitztal"
10504,9.26,322,2.96317606444189,3476,"Jennersdorf"
10505,11.15,96,3.48432055749129,861,"Minihof-Liebau"
10506,12.62,116,5.11425462459195,919,"Mogersdorf"
10507,9.44,72,4.19397116644823,763,"Neuhaus am Klausenbach"
10508,16,290,6.78433535576393,1813,"Rudersdorf"
10509,12.75,216,3.77804014167651,1694,"Sankt Martin an der Raab"
10510,6.28,37,1.86757215619694,589,"Weichselbaum"
10511,18.41,111,6.13598673300166,603,"Königsdorf"
10512,12.87,43,5.68862275449102,334,"Mühlgraben"
10601,19.96,185,7.33549083063646,927,"Draßburg"
10602,10.75,243,3.31858407079646,2260,"Forchtenstein"
10603,15.56,115,3.65358592692828,739,"Hirm"
10604,12.55,125,4.51807228915663,996,"Loipersbach im Burgenland"
10605,11.44,186,4.48954489544895,1626,"Marz"
10606,13.53,777,5.11927563990945,5743,"Mattersburg"
10607,12.93,448,4.47330447330447,3465,"Neudörfl"
10608,21.77,135,4.67741935483871,620,"Pöttelsdorf"
10609,14.95,358,5.05219206680584,2395,"Pöttsching"
10610,14.95,320,5.93180756655768,2141,"Rohrbach bei Mattersburg"
10611,17.75,313,5.72887124220079,1763,"Bad Sauerbrunn"
10612,13.61,267,5.04587155963303,1962,"Schattendorf"
10613,10.55,106,5.67164179104477,1005,"Sieggraben"
10614,20.41,197,7.2538860103627,965,"Sigleß"
10615,9.63,211,3.42465753424657,2190,"Wiesen"
10616,9.63,57,2.87162162162162,592,"Antau"
10617,16.38,114,4.74137931034483,696,"Baumgarten"
10618,10.85,108,3.41708542713568,995,"Zemendorf-Stöttera"
10619,13.77,68,4.25101214574899,494,"Krensdorf"
10701,7.56,145,2.65763418447108,1919,"Andau"
10702,5.71,88,2.40103828682674,1541,"Apetlon"
10703,11.68,276,3.4263959390863,2364,"Bruckneudorf"
10704,7.92,35,2.48868778280543,442,"Deutsch Jahrndorf"
10705,8.14,191,2.68542199488491,2346,"Frauenkirchen"
10706,10.04,94,1.92307692307692,936,"Gattendorf"
10707,10.11,314,3.31723027375201,3105,"Gols"
10708,9.6,152,2.65319014529375,1583,"Halbturn"
10709,10.11,206,4.26889106967615,2038,"Illmitz"
10710,12.85,160,4.49799196787148,1245,"Jois"
10711,6.4,96,2.06666666666667,1500,"Kittsee"
10712,6.53,119,2.029621503017,1823,"Mönchhof"
10713,17.12,1050,5.47945205479452,6132,"Neusiedl am See"
10714,10.87,136,3.99680255795364,1251,"Nickelsdorf"
10715,9.68,83,3.38389731621937,857,"Pama"
10716,7.78,107,3.125,1376,"Pamhagen"
10717,10.09,327,3.95061728395062,3240,"Parndorf"
10718,13.23,232,3.93610952652596,1753,"Podersdorf am See"
10719,11.09,126,4.40140845070423,1136,"Sankt Andrä am Zicksee"
10720,6.37,65,3.13725490196078,1020,"Tadten"
10721,7.49,107,2.6592022393282,1429,"Wallern im Burgenland"
10722,15.11,292,4.75944128297983,1933,"Weiden am See"
10723,13.5,145,6.33147113594041,1074,"Winden am See"
10724,10.58,178,5.11296076099881,1682,"Zurndorf"
10725,10.12,58,2.44328097731239,573,"Neudorf"
10726,10.48,46,4.78359908883827,439,"Potzneusiedl"
10727,7.47,37,2.22222222222222,495,"Edelstal"
10801,12.83,326,6.0236220472441,2540,"Deutschkreutz"
10802,10.78,124,3.56521739130435,1150,"Draßmarkt"
10803,11.6,108,3.86680988184747,931,"Frankenau-Unterpullendorf"
10804,10.72,125,4.03087478559177,1166,"Großwarasdorf"
10805,11.59,171,4.6070460704607,1476,"Horitschon"
10806,14.26,68,2.30607966457023,477,"Kaisersdorf"
10807,12.61,195,4.46024563671623,1547,"Kobersdorf"
10808,8.47,78,2.49728555917481,921,"Lackenbach"
10809,10.42,172,3.93939393939394,1650,"Lockenhaus"
10810,12.22,87,2.80898876404494,712,"Lutzmannsburg"
10811,8.97,132,3.67097212780421,1471,"Mannersdorf an der Rabnitz"
10812,12.61,125,2.82542885973764,991,"Markt Sankt Martin"
10813,8.17,115,2.76988636363636,1408,"Neckenmarkt"
10814,15.84,141,4.8314606741573,890,"Neutal"
10815,9.29,107,2.51736111111111,1152,"Nikitsch"
10816,11.2,277,3.39531123686338,2474,"Oberpullendorf"
10817,7.8,109,3.57653791130186,1398,"Pilgersdorf"
10818,9.94,70,1.84659090909091,704,"Piringsdorf"
10819,9.58,69,4.44444444444445,720,"Raiding"
10820,11.88,88,3.50877192982456,741,"Ritzing"
10821,17.37,181,5.56621880998081,1042,"Steinberg-Dörfl"
10822,13.9,161,3.8860103626943,1158,"Stoob"
10823,11.07,166,4.06937958639093,1499,"Weppersdorf"
10824,12.4,62,7.6,500,"Lackendorf"
10825,11.69,61,3.44827586206897,522,"Unterfrauenhaid"
10826,6.48,34,2.09523809523809,525,"Unterrabnitz-Schwendgraben"
10827,13.68,39,4.56140350877193,285,"Weingraben"
10828,9.62,64,5.41353383458647,665,"Oberloisdorf"
10901,21.45,270,6.75138999205719,1259,"Bad Tatzmannsdorf"
10902,12.1,214,4.52488687782805,1768,"Bernstein"
10903,9.07,87,3.54535974973931,959,"Deutsch Schützen-Eisenberg"
10904,10,105,3.52380952380952,1050,"Grafenschachen"
10905,12.35,355,3.09672929714683,2874,"Großpetersdorf"
10906,11.9,75,6.66666666666667,630,"Hannersdorf"
10907,9.63,120,2.96950240770466,1246,"Kemeten"
10908,8.73,105,3.82377389858687,1203,"Kohfidisch"
10909,12.53,120,4.07098121085595,958,"Litzelsdorf"
10910,10.27,107,3.93474088291747,1042,"Loipersdorf-Kitzladen"
10911,9.59,94,3.87755102040816,980,"Mariasdorf"
10912,14.37,213,5.12820512820513,1482,"Markt Allhau"
10913,11.5,63,5.47445255474453,548,"Markt Neuhodis"
10914,7.13,97,2.5,1360,"Mischendorf"
10915,9.2,78,4.00943396226415,848,"Oberdorf im Burgenland"
10916,16.24,306,5.14861995753715,1884,"Oberschützen"
10917,15.8,890,4.98846085567193,5633,"Oberwart"
10918,13.1,583,4.38300741739717,4449,"Pinkafeld"
10919,9.59,231,3.23785803237858,2409,"Rechnitz"
10920,11.61,154,3.24039186134137,1327,"Riedlingsdorf"
10921,10.84,123,2.81938325991189,1135,"Rotenturm an der Pinka"
10922,14.81,81,6.03290676416819,547,"Schachendorf"
10923,10.73,176,5.1219512195122,1640,"Stadtschlaining"
10924,9.28,79,3.29024676850764,851,"Unterkohlstätten"
10925,8.93,61,3.80673499267936,683,"Unterwart"
10926,7.25,50,3.91304347826087,690,"Weiden bei Rechnitz"
10927,9.08,87,4.80167014613779,958,"Wiesfleck"
10928,14.38,160,6.10961365678347,1113,"Wolfau"
10929,8.29,53,2.50391236306729,639,"Neustift an der Lafnitz"
10930,9.48,56,2.7072758037225,591,"Jabing"
10931,11.93,29,6.17283950617284,243,"Badersdorf"
10932,17.37,37,2.34741784037559,213,"Schandorf"
20101,15.77,11620,4.30303112571095,73669,"Klagenfurt"
20201,13.83,6136,4.39045279361716,44369,"Villach"
20302,12.71,130,2.93255131964809,1023,"Dellach"
20305,14.11,771,3.95242451967063,5465,"Hermagor-Pressegger See"
20306,10.44,221,3.63894139886578,2116,"Kirchbach"
20307,12.88,351,3.55963302752294,2725,"Kötschach-Mauthen"
20316,13.64,179,4.34451219512195,1312,"St. Stefan im Gailtal"
