"gkz_neu","Anteil","Unterschriften","pct_diff","Wahlberechtigte","Name"
10101,6.55,701,5.43,10709,"Eisenstadt"
10201,4.91,78,3.34,1588,"Rust"
10301,7.37,116,5.14,1575,"Breitenbrunn"
10302,5.4,82,4.28,1519,"Donnerskirchen"
10303,6.65,110,5.02,1653,"Großhöflein"
10304,7.34,175,5.58,2384,"Hornstein"
10305,5.17,45,2.99,870,"Klingenbach"
10306,4.59,44,3.65,959,"Leithaprodersdorf"
10307,6.62,120,4.41,1814,"Mörbisch am See"
10308,7.69,88,6.11,1145,"Müllendorf"
10309,6.75,176,4.68,2608,"Neufeld an der Leitha"
10310,5.57,82,4.07,1473,"Oggau am Neusiedler See"
10311,4.51,46,3.62,1021,"Oslip"
10312,4.37,104,3.57,2380,"Purbach am Neusiedler See"
10313,4.33,99,3.15,2286,"Sankt Margarethen im Burgenland"
10314,5.53,61,4.53,1104,"Schützen am Gebirge"
10315,5.22,117,4.19,2241,"Siegendorf"
10316,6.8,140,5.2,2059,"Steinbrunn"
10317,4.73,79,4.25,1669,"Trausdorf an der Wulka"
10318,6.43,77,5.51,1198,"Wimpassing an der Leitha"
10319,5.32,78,4.37,1465,"Wulkaprodersdorf"
10320,12.53,51,10.81,407,"Loretto"
10321,8.41,55,6.88,654,"Stotzing"
10322,7.16,54,5.7,754,"Zillingtal"
10323,6.63,54,6.38,815,"Zagersdorf"
10401,5.46,37,3.69,678,"Bocksdorf"
10402,5.83,64,4.01,1097,"Burgauberg-Neudauberg"
10403,8.62,62,6.4,719,"Eberau"
10404,4.16,35,3.45,841,"Gerersdorf-Sulz"
10405,4.92,147,3.58,2985,"Güssing"
10406,2.98,22,2.44,739,"Güttenbach"
10407,7.69,50,4.92,650,"Heiligenbrunn"
10408,6.32,104,5.11,1645,"Kukmirn"
10409,6.17,52,4.51,843,"Neuberg im Burgenland"
10410,8.47,35,7.26,413,"Neustift bei Güssing"
10411,8.81,106,6.48,1203,"Olbendorf"
10412,5.07,41,4.33,809,"Ollersdorf im Burgenland"
10413,6.55,53,5.19,809,"Sankt Michael im Burgenland"
10414,4.41,92,3.45,2084,"Stegersbach"
10415,6.62,63,5.99,952,"Stinatz"
10416,7.92,61,6.36,770,"Strem"
10417,6.14,67,3.85,1092,"Tobaj"
10418,4.26,12,3.19,282,"Hackerberg"
10419,8.59,34,6.57,396,"Wörterberg"
10420,5.99,13,4.61,217,"Großmürbisch"
10421,7.2,19,3.41,264,"Inzenhof"
10422,9.76,20,6.34,205,"Kleinmürbisch"
10423,14.29,8,12.5,56,"Tschanigraben"
10424,2.78,5,2.22,180,"Heugraben"
10425,3.34,11,2.43,329,"Rohr im Burgenland"
10426,4.62,12,1.92,260,"Bildein"
10427,4.88,18,4.07,369,"Rauchwart"
10428,6.95,23,2.72,331,"Moschendorf"
10501,6.77,99,4.51,1462,"Deutsch Kaltenbrunn"
10502,9.17,72,6.75,785,"Eltendorf"
10503,4.87,47,3.42,965,"Heiligenkreuz im Lafnitztal"
10504,5.12,178,2.96,3476,"Jennersdorf"
10505,5.46,47,4.53,861,"Minihof-Liebau"
10506,5.98,55,4.79,919,"Mogersdorf"
10507,4.59,35,3.41,763,"Neuhaus am Klausenbach"
10508,7.34,133,5.57,1813,"Rudersdorf"
10509,5.43,92,4.25,1694,"Sankt Martin an der Raab"
10510,4.07,24,2.38,589,"Weichselbaum"
10511,7.13,43,6.3,603,"Königsdorf"
10512,9.58,32,8.38,334,"Mühlgraben"
10601,7.44,69,6.69,927,"Draßburg"
10602,4.51,102,3.45,2260,"Forchtenstein"
10603,6.63,49,5.55,739,"Hirm"
10604,5.52,55,4.32,996,"Loipersbach im Burgenland"
10605,4.49,73,4.12,1626,"Marz"
10606,5.48,315,4.21,5743,"Mattersburg"
10607,6.35,220,4.96,3465,"Neudörfl"
10608,6.94,43,4.03,620,"Pöttelsdorf"
10609,5.3,127,4.76,2395,"Pöttsching"
10610,7.1,152,6.17,2141,"Rohrbach bei Mattersburg"
10611,7.66,135,6.24,1763,"Bad Sauerbrunn"
10612,5.4,106,4.28,1962,"Schattendorf"
10613,7.26,73,6.47,1005,"Sieggraben"
10614,9.22,89,7.98,965,"Sigleß"
10615,4.89,107,3.65,2190,"Wiesen"
10616,4.56,27,3.04,592,"Antau"
10617,6.32,44,5.46,696,"Baumgarten"
10618,3.32,33,2.31,995,"Zemendorf-Stöttera"
10619,5.67,28,5.06,494,"Krensdorf"
10701,6.31,121,3.7,1919,"Andau"
10702,6.75,104,3.44,1541,"Apetlon"
10703,5.41,128,3.76,2364,"Bruckneudorf"
10704,6.79,30,4.3,442,"Deutsch Jahrndorf"
10705,4.05,95,3.03,2346,"Frauenkirchen"
10706,5.34,50,2.78,936,"Gattendorf"
10707,4.15,129,3.19,3105,"Gols"
10708,3.98,63,2.72,1583,"Halbturn"
10709,6.82,139,6.04,2038,"Illmitz"
10710,7.23,90,6.02,1245,"Jois"
10711,3.6,54,2.53,1500,"Kittsee"
10712,4.66,85,3.02,1823,"Mönchhof"
10713,5.82,357,4.5,6132,"Neusiedl am See"
10714,5.44,68,4.8,1251,"Nickelsdorf"
10715,4.67,40,3.97,857,"Pama"
10716,5.67,78,4.22,1376,"Pamhagen"
10717,8.58,278,6.05,3240,"Parndorf"
10718,5.88,103,4.73,1753,"Podersdorf am See"
10719,8.45,96,5.81,1136,"Sankt Andrä am Zicksee"
10720,4.71,48,2.94,1020,"Tadten"
10721,3.99,57,3.22,1429,"Wallern im Burgenland"
10722,8.07,156,4.97,1933,"Weiden am See"
10723,10.06,108,6.89,1074,"Winden am See"
10724,6.06,102,4.76,1682,"Zurndorf"
10725,5.41,31,4.01,573,"Neudorf"
10726,8.43,37,7.74,439,"Potzneusiedl"
10727,4.44,22,3.84,495,"Edelstal"
10801,9.53,242,8.54,2540,"Deutschkreutz"
10802,5.22,60,4,1150,"Draßmarkt"
10803,5.69,53,3.97,931,"Frankenau-Unterpullendorf"
10804,4.72,55,3.86,1166,"Großwarasdorf"
10805,7.66,113,5.01,1476,"Horitschon"
10806,6.92,33,5.24,477,"Kaisersdorf"
10807,7.11,110,6.08,1547,"Kobersdorf"
10808,4.89,45,3.91,921,"Lackenbach"
10809,4.06,67,3.33,1650,"Lockenhaus"
10810,6.18,44,3.51,712,"Lutzmannsburg"
10811,5.78,85,4.55,1471,"Mannersdorf an der Rabnitz"
10812,6.05,60,4.54,991,"Markt Sankt Martin"
10813,4.12,58,3.05,1408,"Neckenmarkt"
10814,6.97,62,5.17,890,"Neutal"
10815,3.3,38,2.69,1152,"Nikitsch"
10816,4.53,112,3.88,2474,"Oberpullendorf"
10817,3.93,55,3.15,1398,"Pilgersdorf"
10818,3.98,28,2.84,704,"Piringsdorf"
10819,4.58,33,3.89,720,"Raiding"
10820,4.18,31,3.78,741,"Ritzing"
10821,7.1,74,5.66,1042,"Steinberg-Dörfl"
10822,5.53,64,3.63,1158,"Stoob"
10823,6.34,95,5,1499,"Weppersdorf"
10824,10,50,9,500,"Lackendorf"
10825,6.7,35,5.56,522,"Unterfrauenhaid"
10826,4.76,25,4.19,525,"Unterrabnitz-Schwendgraben"
10827,8.07,23,7.72,285,"Weingraben"
10828,7.82,52,5.41,665,"Oberloisdorf"
10901,6.51,82,5.24,1259,"Bad Tatzmannsdorf"
10902,5.37,95,4.36,1768,"Bernstein"
10903,5.94,57,4.17,959,"Deutsch Schützen-Eisenberg"
10904,5.71,60,4.48,1050,"Grafenschachen"
10905,5.57,160,3.93,2874,"Großpetersdorf"
10906,6.51,41,5.24,630,"Hannersdorf"
10907,5.7,71,4.74,1246,"Kemeten"
10908,6.65,80,4.74,1203,"Kohfidisch"
10909,8.46,81,6.16,958,"Litzelsdorf"
10910,4.41,46,3.93,1042,"Loipersdorf-Kitzladen"
10911,6.94,68,5.31,980,"Mariasdorf"
10912,7.15,106,5.33,1482,"Markt Allhau"
10913,7.85,43,6.2,548,"Markt Neuhodis"
10914,5.44,74,2.72,1360,"Mischendorf"
10915,7.55,64,6.37,848,"Oberdorf im Burgenland"
10916,5.79,109,4.51,1884,"Oberschützen"
10917,6.05,341,4.3,5633,"Oberwart"
10918,6.41,285,4.54,4449,"Pinkafeld"
10919,5.56,134,3.36,2409,"Rechnitz"
10920,5.5,73,3.92,1327,"Riedlingsdorf"
10921,4.93,56,3.96,1135,"Rotenturm an der Pinka"
10922,7.68,42,6.4,547,"Schachendorf"
10923,5.85,96,4.76,1640,"Stadtschlaining"
10924,2.82,24,2.35,851,"Unterkohlstätten"
10925,5.27,36,4.25,683,"Unterwart"
10926,5.94,41,4.49,690,"Weiden bei Rechnitz"
10927,6.16,59,4.8,958,"Wiesfleck"
10928,8,89,6.83,1113,"Wolfau"
10929,3.76,24,2.5,639,"Neustift an der Lafnitz"
10930,4.74,28,3.21,591,"Jabing"
10931,8.23,20,6.17,243,"Badersdorf"
10932,4.69,10,2.82,213,"Schandorf"
20101,5.38,3962,4.08,73669,"Klagenfurt"
20201,5.34,2371,3.97,44369,"Villach"
20302,3.71,38,2.25,1023,"Dellach"
20305,4.41,241,3.51,5465,"Hermagor-Pressegger See"
20306,4.16,88,2.79,2116,"Kirchbach"
20307,5.21,142,3.82,2725,"Kötschach-Mauthen"
20316,5.56,73,4.73,1312,"St. Stefan im Gailtal"
20320,4.73,46,3.91,973,"Gitschtal"
20321,2.56,28,1.19,1092,"Lesachtal"
20402,5.23,331,3.73,6323,"Ebenthal in Kärnten"
20403,6.1,120,4.93,1968,"Feistritz im Rosental"
20405,4.57,251,3.4,5495,"Ferlach"
20409,6.37,147,5.5,2307,"Grafenstein"
20412,3.93,77,3.32,1958,"Keutschach am See"
20414,6.65,157,5.76,2361,"Köttmannsdorf"
20415,5.54,146,4.4,2635,"Krumpendorf am Wörther See"
20416,7.84,114,5.64,1455,"Ludmannsdorf"
20417,6.23,123,4.46,1974,"Maria Rain"
20418,4.65,145,3.56,3121,"Maria Saal"
20419,5.12,65,4.33,1269,"Maria Wörth"
20421,4.81,173,3.86,3598,"Moosburg"
20424,8.05,176,6.63,2186,"Pörtschach am Wörther See"
20425,6.89,177,5.49,2568,"Poggersdorf"
20428,5.97,53,4.5,888,"St. Margareten im Rosental"
20432,5.75,113,4.74,1964,"Schiefling am See"
20435,4.45,78,3.08,1754,"Techelsberg am Wörther See"
20441,3.13,16,2.94,511,"Zell"
20442,4.42,121,3.69,2739,"Magdalensberg"
20501,3.67,139,2.83,3787,"Althofen"
20502,4.1,92,2.94,2244,"Brückl"
20503,5.33,40,4.27,750,"Deutsch-Griffen"
20504,6.92,71,3.8,1026,"Eberstein"
20505,4.64,195,3.38,4207,"Friesach"
20506,10.44,69,3.93,661,"Glödnitz"
20508,7.23,73,5.65,1009,"Gurk"
20509,5.89,71,4.4,1205,"Guttaring"
20511,3.65,44,2.66,1204,"Hüttenberg"
20512,4.89,77,3.43,1574,"Kappel am Krappfeld"
20513,5.68,84,3.72,1480,"Klein St. Paul"
20515,3.79,100,2.88,2641,"Liebenfels"
20518,3.77,63,1.92,1669,"Metnitz"
20519,5.88,49,4.56,833,"Micheldorf"
20520,4.33,46,3.48,1062,"Mölbling"
20523,3.73,109,2.91,2924,"St. Georgen am Längsee"
20527,3.9,384,2.65,9843,"St. Veit an der Glan"
20530,2.87,48,2.39,1673,"Straßburg"
20531,5.03,87,3.35,1730,"Weitensfeld im Gurktal"
20534,4.19,121,2.84,2886,"Frauenstein"
20601,4.85,63,3.77,1299,"Bad Kleinkirchheim"
20602,3.03,47,2.25,1553,"Baldramsdorf"
20603,1.98,21,1.32,1059,"Berg im Drautal"
20604,3.24,43,2.94,1328,"Dellach im Drautal"
20605,4.23,46,2.3,1087,"Großkirchheim"
20607,5.56,54,3.29,972,"Flattach"
20608,4.38,93,3.72,2123,"Gmünd in Kärnten"
20609,5.16,71,3.71,1375,"Greifenburg"
20610,3.61,30,2.53,831,"Heiligenblut"
20611,4.09,66,2.67,1613,"Irschen"
20613,2.6,25,2.18,962,"Kleblach-Lind"
20616,2.73,39,2.1,1430,"Lendorf"
20618,8.87,55,8.71,620,"Mallnitz"
20619,2,33,1.76,1648,"Malta"
20620,5.12,141,4.29,2753,"Millstatt"
20622,5.04,34,3.11,675,"Mörtschach"
20624,2.91,24,2.06,826,"Mühldorf"
20625,3.96,38,2.71,959,"Oberdrauburg"
20627,5.62,100,4.95,1779,"Obervellach"
20630,3.84,185,3.03,4815,"Radenthein"
20631,6.51,88,3.18,1351,"Rangersdorf"
20632,5.71,84,4.89,1471,"Rennweg am Katschberg"
20633,3.36,34,2.37,1013,"Sachsenburg"
20634,3.4,176,2.8,5172,"Seeboden"
20635,4.27,504,3.34,11796,"Spittal an der Drau"
20636,3.45,45,1.92,1304,"Stall"
20637,3.44,57,2.72,1655,"Steinfeld"
20638,3.66,35,2.09,956,"Trebesing"
20639,2.12,13,1.96,613,"Weißensee"
20640,5.66,56,4.25,989,"Winklern"
20642,2.28,33,1.59,1445,"Krems in Kärnten"
20643,3.95,87,2.82,2200,"Lurnfeld"
20644,3.42,61,3.03,1785,"Reißeck"
20701,5.31,64,3.24,1205,"Afritz am See"
20702,6.23,326,4.66,5231,"Arnoldstein"
20703,5.37,61,3.87,1136,"Arriach"
20705,5.9,108,4.26,1829,"Bad Bleiberg"
20707,7.31,37,4.35,506,"Feistritz an der Gail"
20708,4.54,41,3.87,904,"Feld am See"
20710,3.53,62,2.96,1758,"Ferndorf"
20711,5.19,362,3.86,6974,"Finkenstein am Faaker See"
20712,5.36,55,4.19,1026,"Fresach"
20713,6.81,44,4.95,646,"Hohenthurn"
20719,6.89,126,5.25,1829,"Nötsch im Gailtal"
