"gkz_neu","Anteil","Unterschriften","pct_diff","Wahlberechtigte","Name"
10101,4.45,482,2.65829795089533,10834,"Eisenstadt"
10201,3.45,55,1.88442211055276,1592,"Rust"
10301,7.51,117,2.7599486521181,1558,"Breitenbrunn am Neusiedler See"
10302,3.05,46,1.39165009940358,1509,"Donnerskirchen"
10303,3.25,55,2.42030696576151,1694,"Großhöflein"
10304,3.94,95,2.28215767634855,2410,"Hornstein"
10305,2.41,21,1.26291618828932,871,"Klingenbach"
10306,2.68,26,1.44478844169247,969,"Leithaprodersdorf"
10307,2.53,46,1.32231404958678,1815,"Mörbisch am See"
10308,2.74,31,1.23784261715296,1131,"Müllendorf"
10309,4,106,2.14851111948737,2653,"Neufeld an der Leitha"
10310,2.57,38,1.8970189701897,1476,"Oggau am Neusiedler See"
10311,3.05,31,1.47492625368732,1017,"Oslip"
10312,3.85,91,2.07100591715976,2366,"Purbach am Neusiedler See"
10313,3.38,78,1.56046814044213,2307,"Sankt Margarethen im Burgenland"
10314,3.43,38,2.43682310469314,1108,"Schützen am Gebirge"
10315,4.51,102,2.78391515687141,2263,"Siegendorf"
10316,5.03,110,2.5629290617849,2185,"Steinbrunn"
10317,4.08,67,2.55474452554745,1644,"Trausdorf an der Wulka"
10318,3.29,41,1.92461908580593,1247,"Wimpassing an der Leitha"
10319,3.99,59,2.4340770791075,1479,"Wulkaprodersdorf"
10320,5.39,22,3.92156862745098,408,"Loretto"
10321,2.97,19,2.5,640,"Stotzing"
10322,4.97,38,2.35294117647059,765,"Zillingtal"
10323,3.05,25,2.44200244200244,819,"Zagersdorf"
10401,2.22,15,1.62481536189069,677,"Bocksdorf"
10402,2.72,30,1.90735694822888,1101,"Burgauberg-Neudauberg"
10403,1.54,11,0.702247191011236,712,"Eberau"
10404,2.57,21,1.8359853121175,817,"Gerersdorf-Sulz"
10405,2.95,86,1.74657534246575,2920,"Güssing"
10406,3.7,27,2.46913580246914,729,"Güttenbach"
10407,1.4,9,0.78003120124805,641,"Heiligenbrunn"
10408,2.32,38,1.15995115995116,1638,"Kukmirn"
10409,3.59,30,2.63473053892216,835,"Neuberg im Burgenland"
10410,2.26,9,1.50753768844221,398,"Neustift bei Güssing"
10411,1.63,19,1.11206159110351,1169,"Olbendorf"
10412,3.76,30,2.5062656641604,798,"Ollersdorf im Burgenland"
10413,1.73,14,0.741656365883807,809,"Sankt Michael im Burgenland"
10414,2.06,43,1.19617224880383,2090,"Stegersbach"
10415,1.82,17,1.2847965738758,934,"Stinatz"
10416,1.74,13,1.07238605898123,746,"Strem"
10417,2.35,26,1.35623869801085,1106,"Tobaj"
10418,2.34,7,2.0066889632107,299,"Hackerberg"
10419,1.49,6,0.99502487562189,402,"Wörterberg"
10420,1.9,4,1.4218009478673,211,"Großmürbisch"
10421,0.77,2,0,259,"Inzenhof"
10422,0,0,0,210,"Kleinmürbisch"
10423,9.09,5,3.63636363636364,55,"Tschanigraben"
10424,0.52,1,0,192,"Heugraben"
10425,1.21,4,0.606060606060606,330,"Rohr im Burgenland"
10426,2.32,6,2.31660231660232,259,"Bildein"
10427,3.2,12,1.06666666666667,375,"Rauchwart"
10428,1.24,4,0.928792569659443,323,"Moschendorf"
10501,2.67,39,1.37174211248285,1458,"Deutsch Kaltenbrunn"
10502,4.25,33,2.19072164948454,776,"Eltendorf"
10503,2.91,28,2.39085239085239,962,"Heiligenkreuz im Lafnitztal"
10504,2.74,95,1.58638592443034,3467,"Jennersdorf"
10505,3.64,32,2.27531285551763,879,"Minihof-Liebau"
10506,2.65,24,1.76795580110497,905,"Mogersdorf"
10507,2.14,16,1.73564753004005,749,"Neuhaus am Klausenbach"
10508,2.6,48,1.73253925284245,1847,"Rudersdorf"
10509,2.54,43,1.47492625368732,1695,"Sankt Martin an der Raab"
10510,1.84,11,0.837520938023451,597,"Weichselbaum"
10511,3.55,22,2.74636510500808,619,"Königsdorf"
10512,3.95,13,2.12765957446809,329,"Mühlgraben"
10601,2.58,24,2.03862660944206,932,"Draßburg"
10602,2.88,65,1.99291408325952,2258,"Forchtenstein"
10603,5.69,43,1.71957671957672,756,"Hirm"
10604,2.81,27,2.1875,960,"Loipersbach im Burgenland"
10605,2.4,39,1.35551447935921,1623,"Marz"
10606,2.97,171,1.78602392925264,5767,"Mattersburg"
10607,3.6,125,2.3342939481268,3470,"Neudörfl"
10608,3.47,22,1.57728706624606,634,"Pöttelsdorf"
10609,4.11,100,2.46406570841889,2435,"Pöttsching"
10610,2.23,47,1.37832699619772,2104,"Rohrbach bei Mattersburg"
10611,5.22,92,3.00453514739229,1764,"Bad Sauerbrunn"
10612,4.17,80,2.76473656755347,1917,"Schattendorf"
10613,1.01,10,0.404448938321537,989,"Sieggraben"
10614,5.36,51,3.36134453781513,952,"Sigleß"
10615,2.7,59,1.37236962488564,2186,"Wiesen"
10616,2.93,18,1.95121951219512,615,"Antau"
10617,4.15,29,2.86532951289398,698,"Baumgarten"
10618,2.39,24,1.09670987038883,1003,"Zemendorf-Stöttera"
10619,1.88,9,0.208768267223382,479,"Krensdorf"
10701,2.09,40,1.04547830632514,1913,"Andau"
10702,1.96,30,1.62972620599739,1534,"Apetlon"
10703,3.67,87,2.06576728499157,2372,"Bruckneudorf"
