"";"gkz_neu";"Anteil";"Unterstützer";"Wahlberechtigte";"Name";"cut";"klasse"
"1";10101;10,47;1113;10633;"Eisenstadt";"90%";"überdurchschnittlich"
"2";10201;6,19;98;1584;"Rust";"40%";"durchschnittlich"
"3";10301;10,72;171;1595;"Breitenbrunn";"90%";"überdurchschnittlich"
"4";10302;6,85;105;1532;"Donnerskirchen";"50%";"durchschnittlich"
"5";10303;8,74;146;1670;"Großhöflein";"70%";"überdurchschnittlich"
"6";10304;11,32;265;2340;"Hornstein";"100%";"überdurchschnittlich"
"7";10305;7,72;68;881;"Klingenbach";"60%";"durchschnittlich"
"8";10306;9,2;88;957;"Leithaprodersdorf";"80%";"überdurchschnittlich"
"9";10307;5,84;106;1814;"Mörbisch am See";"30%";"unterdurchschnittlich"
"10";10308;9,31;106;1138;"Müllendorf";"80%";"überdurchschnittlich"
"11";10309;9,82;255;2596;"Neufeld an der Leitha";"90%";"überdurchschnittlich"
"12";10310;6,14;90;1465;"Oggau am Neusiedler See";"40%";"durchschnittlich"
"13";10311;8,79;89;1012;"Oslip";"80%";"überdurchschnittlich"
"14";10312;6,84;162;2370;"Purbach am Neusiedler See";"50%";"durchschnittlich"
"15";10313;6,63;151;2279;"Sankt Margarethen im Burgenland";"40%";"durchschnittlich"
"16";10314;8,09;89;1100;"Schützen am Gebirge";"70%";"überdurchschnittlich"
"17";10315;10,05;223;2220;"Siegendorf";"90%";"überdurchschnittlich"
"18";10316;9,12;186;2039;"Steinbrunn";"80%";"überdurchschnittlich"
"19";10317;8,34;139;1667;"Trausdorf an der Wulka";"70%";"überdurchschnittlich"
"20";10318;5,28;63;1194;"Wimpassing an der Leitha";"30%";"unterdurchschnittlich"
"21";10319;10,55;155;1469;"Wulkaprodersdorf";"90%";"überdurchschnittlich"
"22";10320;6,23;25;401;"Loretto";"40%";"durchschnittlich"
"23";10321;4,86;32;658;"Stotzing";"20%";"unterdurchschnittlich"
"24";10322;9,91;73;737;"Zillingtal";"90%";"überdurchschnittlich"
"25";10323;8,62;70;812;"Zagersdorf";"70%";"überdurchschnittlich"
"26";10401;5,98;41;686;"Bocksdorf";"30%";"unterdurchschnittlich"
"27";10402;9,09;99;1089;"Burgauberg-Neudauberg";"80%";"überdurchschnittlich"
"28";10403;7,59;55;725;"Eberau";"60%";"durchschnittlich"
"29";10404;6,72;56;833;"Gerersdorf-Sulz";"50%";"durchschnittlich"
"30";10405;7,49;223;2979;"Güssing";"60%";"durchschnittlich"
"31";10406;7,76;58;747;"Güttenbach";"60%";"durchschnittlich"
"32";10407;8,11;54;666;"Heiligenbrunn";"70%";"überdurchschnittlich"
"33";10408;6,41;106;1654;"Kukmirn";"40%";"durchschnittlich"
"34";10409;8,48;72;849;"Neuberg im Burgenland";"70%";"überdurchschnittlich"
"35";10410;5,3;22;415;"Neustift bei Güssing";"30%";"unterdurchschnittlich"
"36";10411;6,04;73;1208;"Olbendorf";"40%";"durchschnittlich"
"37";10412;7,76;63;812;"Ollersdorf im Burgenland";"60%";"durchschnittlich"
"38";10413;5,25;43;819;"Sankt Michael im Burgenland";"20%";"unterdurchschnittlich"
"39";10414;8,23;171;2077;"Stegersbach";"70%";"überdurchschnittlich"
"40";10415;8,62;82;951;"Stinatz";"70%";"überdurchschnittlich"
"41";10416;6,28;48;764;"Strem";"40%";"durchschnittlich"
"42";10417;6,22;68;1093;"Tobaj";"40%";"durchschnittlich"
"43";10418;7,39;21;284;"Hackerberg";"60%";"durchschnittlich"
"44";10419;13,18;51;387;"Wörterberg";"100%";"überdurchschnittlich"
"45";10420;6,16;13;211;"Großmürbisch";"40%";"durchschnittlich"
"46";10421;6,87;18;262;"Inzenhof";"50%";"durchschnittlich"
"47";10422;4,35;9;207;"Kleinmürbisch";"10%";"unterdurchschnittlich"
"48";10423;10,91;6;55;"Tschanigraben";"90%";"überdurchschnittlich"
"49";10424;4,4;8;182;"Heugraben";"20%";"unterdurchschnittlich"
"50";10425;4,5;15;333;"Rohr im Burgenland";"20%";"unterdurchschnittlich"
"51";10426;4,58;12;262;"Bildein";"20%";"unterdurchschnittlich"
"52";10427;4,08;15;368;"Rauchwart";"10%";"unterdurchschnittlich"
"53";10428;6,67;22;330;"Moschendorf";"50%";"durchschnittlich"
"54";10501;9,77;142;1454;"Deutsch Kaltenbrunn";"90%";"überdurchschnittlich"
"55";10502;9,68;76;785;"Eltendorf";"80%";"überdurchschnittlich"
"56";10503;4,02;39;970;"Heiligenkreuz im Lafnitztal";"10%";"unterdurchschnittlich"
"57";10504;5,74;198;3452;"Jennersdorf";"30%";"unterdurchschnittlich"
"58";10505;6,52;57;874;"Minihof-Liebau";"40%";"durchschnittlich"
"59";10506;7,07;65;920;"Mogersdorf";"50%";"durchschnittlich"
"60";10507;4,95;38;767;"Neuhaus am Klausenbach";"20%";"unterdurchschnittlich"
"61";10508;8,25;150;1818;"Rudersdorf";"70%";"überdurchschnittlich"
"62";10509;7,96;134;1684;"Sankt Martin an der Raab";"60%";"durchschnittlich"
"63";10510;3,72;22;591;"Weichselbaum";"10%";"unterdurchschnittlich"
"64";10511;11,44;69;603;"Königsdorf";"100%";"überdurchschnittlich"
"65";10512;6,61;22;333;"Mühlgraben";"40%";"durchschnittlich"
"66";10601;12,38;115;929;"Draßburg";"100%";"überdurchschnittlich"
"67";10602;6,97;159;2282;"Forchtenstein";"50%";"durchschnittlich"
"68";10603;10,2;76;745;"Hirm";"90%";"überdurchschnittlich"
"69";10604;7,58;75;990;"Loipersbach im Burgenland";"60%";"durchschnittlich"
"70";10605;6,72;110;1637;"Marz";"50%";"durchschnittlich"
"71";10606;7,75;443;5716;"Mattersburg";"60%";"durchschnittlich"
"72";10607;8,19;280;3419;"Neudörfl";"70%";"überdurchschnittlich"
"73";10608;14,43;87;603;"Pöttelsdorf";"100%";"überdurchschnittlich"
"74";10609;9,62;227;2360;"Pöttsching";"80%";"überdurchschnittlich"
"75";10610;8,67;186;2145;"Rohrbach bei Mattersburg";"70%";"überdurchschnittlich"
"76";10611;11,64;200;1718;"Bad Sauerbrunn";"100%";"überdurchschnittlich"
"77";10612;8,03;158;1968;"Schattendorf";"70%";"überdurchschnittlich"
"78";10613;4,38;44;1005;"Sieggraben";"10%";"unterdurchschnittlich"
"79";10614;12,4;120;968;"Sigleß";"100%";"überdurchschnittlich"
"80";10615;5,86;129;2203;"Wiesen";"30%";"unterdurchschnittlich"
"81";10616;6,34;38;599;"Antau";"40%";"durchschnittlich"
"82";10617;11,11;78;702;"Baumgarten";"90%";"überdurchschnittlich"
"83";10618;6,96;69;991;"Zemendorf-Stöttera";"50%";"durchschnittlich"
"84";10619;9,18;45;490;"Krensdorf";"80%";"überdurchschnittlich"
"85";10701;4,53;87;1921;"Andau";"20%";"unterdurchschnittlich"
"86";10702;2,99;46;1538;"Apetlon";"10%";"unterdurchschnittlich"
"87";10703;7,94;187;2354;"Bruckneudorf";"60%";"durchschnittlich"
"88";10704;4,51;20;443;"Deutsch Jahrndorf";"20%";"unterdurchschnittlich"
"89";10705;5,14;120;2334;"Frauenkirchen";"20%";"unterdurchschnittlich"
"90";10706;7,63;71;931;"Gattendorf";"60%";"durchschnittlich"
"91";10707;6,41;199;3104;"Gols";"40%";"durchschnittlich"
"92";10708;6,4;102;1594;"Halbturn";"40%";"durchschnittlich"
"93";10709;5,74;117;2039;"Illmitz";"30%";"unterdurchschnittlich"
"94";10710;7,98;99;1240;"Jois";"60%";"durchschnittlich"
"95";10711;4,31;64;1485;"Kittsee";"10%";"unterdurchschnittlich"
"96";10712;4,22;77;1824;"Mönchhof";"10%";"unterdurchschnittlich"
"97";10713;11,01;668;6066;"Neusiedl am See";"90%";"überdurchschnittlich"
"98";10714;6,5;81;1246;"Nickelsdorf";"40%";"durchschnittlich"
"99";10715;5,81;50;861;"Pama";"30%";"unterdurchschnittlich"
"100";10716;4,45;62;1394;"Pamhagen";"20%";"unterdurchschnittlich"
"101";10717;5,84;186;3187;"Parndorf";"30%";"unterdurchschnittlich"
"102";10718;8,96;156;1741;"Podersdorf am See";"80%";"überdurchschnittlich"
"103";10719;6;68;1134;"Sankt Andrä am Zicksee";"30%";"unterdurchschnittlich"
"104";10720;3,04;31;1019;"Tadten";"10%";"unterdurchschnittlich"
"105";10721;4,54;65;1431;"Wallern im Burgenland";"20%";"unterdurchschnittlich"
"106";10722;9,84;190;1931;"Weiden am See";"90%";"überdurchschnittlich"
"107";10723;6,51;70;1076;"Winden am See";"40%";"durchschnittlich"
"108";10724;5,24;88;1678;"Zurndorf";"20%";"unterdurchschnittlich"
"109";10725;6,87;39;568;"Neudorf";"50%";"durchschnittlich"
"110";10726;5,67;25;441;"Potzneusiedl";"30%";"unterdurchschnittlich"
"111";10727;5,07;25;493;"Edelstal";"20%";"unterdurchschnittlich"
"112";10801;6,31;161;2553;"Deutschkreutz";"40%";"durchschnittlich"
"113";10802;6,47;74;1143;"Draßmarkt";"40%";"durchschnittlich"
"114";10803;5,78;55;951;"Frankenau-Unterpullendorf";"30%";"unterdurchschnittlich"
"115";10804;6,21;72;1159;"Großwarasdorf";"40%";"durchschnittlich"
"116";10805;6,6;99;1500;"Horitschon";"40%";"durchschnittlich"
"117";10806;10,37;50;482;"Kaisersdorf";"90%";"überdurchschnittlich"
"118";10807;7,29;113;1551;"Kobersdorf";"50%";"durchschnittlich"
"119";10808;5,81;54;929;"Lackenbach";"30%";"unterdurchschnittlich"
"120";10809;6,02;100;1660;"Lockenhaus";"30%";"unterdurchschnittlich"
"121";10810;9,07;64;706;"Lutzmannsburg";"80%";"überdurchschnittlich"
"122";10811;4,87;72;1478;"Mannersdorf an der Rabnitz";"20%";"unterdurchschnittlich"
"123";10812;9,35;92;984;"Markt Sankt Martin";"80%";"überdurchschnittlich"
"124";10813;4,65;65;1399;"Neckenmarkt";"20%";"unterdurchschnittlich"
"125";10814;10,26;91;887;"Neutal";"90%";"überdurchschnittlich"
"126";10815;6,38;74;1160;"Nikitsch";"40%";"durchschnittlich"
"127";10816;7,28;180;2474;"Oberpullendorf";"50%";"durchschnittlich"
"128";10817;3,91;55;1408;"Pilgersdorf";"10%";"unterdurchschnittlich"
"129";10818;7,7;54;701;"Piringsdorf";"60%";"durchschnittlich"
"130";10819;4,85;35;721;"Raiding";"20%";"unterdurchschnittlich"
"131";10820;8,12;60;739;"Ritzing";"70%";"überdurchschnittlich"
"132";10821;11,27;118;1047;"Steinberg-Dörfl";"100%";"überdurchschnittlich"
"133";10822;9,06;105;1159;"Stoob";"80%";"überdurchschnittlich"
"134";10823;6,52;98;1502;"Weppersdorf";"40%";"durchschnittlich"
"135";10824;4,78;24;502;"Lackendorf";"20%";"unterdurchschnittlich"
"136";10825;8,02;42;524;"Unterfrauenhaid";"70%";"überdurchschnittlich"
"137";10826;4,18;22;526;"Unterrabnitz-Schwendgraben";"10%";"unterdurchschnittlich"
"138";10827;8,48;24;283;"Weingraben";"70%";"überdurchschnittlich"
"139";10828;3,89;26;668;"Oberloisdorf";"10%";"unterdurchschnittlich"
"140";10901;14,3;178;1245;"Bad Tatzmannsdorf";"100%";"überdurchschnittlich"
"141";10902;7,36;131;1779;"Bernstein";"60%";"durchschnittlich"
"142";10903;5,09;49;962;"Deutsch Schützen-Eisenberg";"20%";"unterdurchschnittlich"
"143";10904;6,27;65;1036;"Grafenschachen";"40%";"durchschnittlich"
