"","gkz","pct","tkgr","rurb","Summe"
"1",10101,4.45,54.9620466685409,2,482
"2",10201,3.45,42.1407907425265,3,55
"3",10301,7.51,45.7657657657658,3,117
"4",10302,3.05,50.7082152974504,3,46
"5",10303,3.25,52.8533801580334,2,55
"6",10304,3.94,41.2895226286423,3,95
"7",10305,2.41,37.0607028753994,3,21
"8",10306,2.68,62.2317596566524,3,26
"9",10307,2.53,40.8748114630468,3,46
"10",10308,2.74,46.4788732394366,2,31
"11",10309,4,38.9130434782609,2,106
"12",10310,2.57,43.8612099644128,3,38
"13",10311,3.05,45.1831750339213,3,31
"14",10312,3.85,51.3358778625954,3,91
"15",10313,3.38,52.0731707317073,3,78
"16",10314,3.43,53.6702767749699,3,38
"17",10315,4.51,32.9595015576324,3,102
"18",10316,5.03,39.8789509078682,3,110
"19",10317,4.08,43.459174714662,3,67
"20",10318,3.29,48.8676996424315,3,41
"21",10319,3.99,50.1364877161055,3,59
"22",10320,5.39,45.3900709219858,3,22
"23",10321,2.97,48.4848484848485,3,19
"24",10322,4.97,44.0384615384615,3,38
"25",10323,3.05,45.0511945392491,3,25
"26",10401,2.22,36.3636363636364,3,15
"27",10402,2.72,49.2084432717678,3,30
"28",10403,1.54,61.2704918032787,3,11
"29",10404,2.57,54.2713567839196,3,21
"30",10405,2.95,51.2396694214876,3,86
"31",10406,3.7,56.4,3,27
"32",10407,1.4,59.375,3,9
"33",10408,2.32,48.8646684831971,3,38
"34",10409,3.59,50.3508771929825,3,30
"35",10410,2.26,31.3207547169811,3,9
"36",10411,1.63,32.1909424724602,3,19
"37",10412,3.76,47.1048513302034,3,30
"38",10413,1.73,54.4407894736842,3,14
"39",10414,2.06,43.8034188034188,3,43
"40",10415,1.82,40.7751937984496,3,17
"41",10416,1.74,62.5,3,13
"42",10417,2.35,55.5694618272841,3,26
"43",10418,2.34,56.2189054726368,3,7
"44",10419,1.49,49.8257839721254,3,6
"45",10420,1.9,59.4594594594595,3,4
"46",10421,0.77,35.8974358974359,3,2
"47",10422,0,48.0916030534351,3,0
"48",10423,9.09,29.7297297297297,3,5
"49",10424,0.52,43.7086092715232,3,1
"50",10425,1.21,49.1666666666667,3,4
"51",10426,2.32,69.4835680751174,3,6
"52",10427,3.2,33.5793357933579,3,12
"53",10428,1.24,63.6363636363636,3,4
"54",10501,2.67,44.0803382663848,3,39
"55",10502,4.25,45.6439393939394,3,33
"56",10503,2.91,46.7948717948718,3,28
"57",10504,2.74,50.0674157303371,3,95
"58",10505,3.64,43.338683788122,3,32
"59",10506,2.65,42.03125,3,24
"60",10507,2.14,53.3468559837728,3,16
"61",10508,2.6,51.2174643157011,3,48
"62",10509,2.54,51.4741035856574,3,43
"63",10510,1.84,50,3,11
"64",10511,3.55,44.7427293064877,3,22
"65",10512,3.95,33.7662337662338,3,13
"66",10601,2.58,30.4700162074554,3,24
"67",10602,2.88,47.5524475524476,3,65
"68",10603,5.69,31.858407079646,3,43
"69",10604,2.81,29.9559471365639,3,27
"70",10605,2.4,48.6486486486487,2,39
"71",10606,2.97,45.7000524383849,2,171
"72",10607,3.6,38.8066202090592,2,125
"73",10608,3.47,52.4296675191816,2,22
"74",10609,4.11,44.1279069767442,3,100
"75",10610,2.23,43.9817826935589,2,47
"76",10611,5.22,48.1989708404803,3,92
"77",10612,4.17,36.0082304526749,3,80
"78",10613,1.01,45.5172413793103,3,10
"79",10614,5.36,40.6578947368421,3,51
"80",10615,2.7,52.2539682539683,3,59
"81",10616,2.93,52.2105263157895,2,18
"82",10617,4.15,34.5776031434185,3,29
"83",10618,2.39,52.3470839260313,2,24
"84",10619,1.88,51.7543859649123,3,9
"85",10701,2.09,38.7029288702929,3,40
"86",10702,1.96,47.1162377994676,3,30
"87",10703,3.67,38.6499007279947,3,87
"88",10704,3.15,37.7581120943953,3,14
"89",10705,2.76,42.7545691906005,3,64
"90",10706,2.6,43.1818181818182,3,25
"91",10707,3.37,42.5959780621572,3,107
"92",10708,2.26,52.1410579345088,3,36
"93",10709,2.74,42.7944862155388,3,56
"94",10710,3.16,47.0454545454545,3,40
"95",10711,1.82,52.3326572008114,3,27
"96",10712,1.79,51.9809825673534,3,33
"97",10713,5.11,51.4249037227214,2,321
"98",10714,3.69,38.4174311926606,3,46
"99",10715,3.3,53.0139103554869,3,28
"100",10716,1.77,55.8139534883721,3,24
"101",10717,3.18,35.5764473033152,3,105
"102",10718,3.79,60.0796812749004,3,66
"103",10719,2.57,50.517836593786,3,29
"104",10720,2.11,51.6778523489933,3,21
"105",10721,2.88,39.3854748603352,3,41
"106",10722,5.36,49.0815576781778,3,105
"107",10723,3.73,41.7974322396576,3,40
"108",10724,2.97,33.30658105939,3,50
"109",10725,2.67,47.9695431472081,3,15
"110",10726,3.26,35.625,3,14
"111",10727,2.21,63.7393767705383,3,11
"112",10801,2.6,52.5626423690205,3,65
"113",10802,3.35,52.3980815347722,3,38
"114",10803,2.87,55.2631578947368,3,26
"115",10804,2.63,54.6365914786967,3,30
"116",10805,1.3,48.9262371615313,3,19
"117",10806,4.68,39.3258426966292,3,23
"118",10807,2.12,40.3114186851211,3,33
"119",10808,2.58,43.317230273752,3,24
"120",10809,2.13,47.1223021582734,3,35
"121",10810,4.03,49.2307692307692,3,28
"122",10811,1.37,43.1082331174838,3,20
"123",10812,3.34,46.3768115942029,3,33
"124",10813,1.35,52.5967894239849,3,19
"125",10814,3.29,31.3837375178317,3,29
"126",10815,1.73,56.1797752808989,3,20
"127",10816,3.14,50.7670850767085,3,79
"128",10817,2.92,58.3665338645418,3,40
"129",10818,3.8,45.5743879472693,3,27
"130",10819,2.15,43.4599156118143,3,16
"131",10820,2.93,39.3129770992366,3,22
"132",10821,4.35,51.5964240102171,3,45
"133",10822,3.13,42.487684729064,3,35
"134",10823,2.94,32.9690346083789,3,44
"135",10824,2.27,37.1601208459215,3,11
"136",10825,2.53,44.3569553805774,3,13
"137",10826,2.28,56.1151079136691,3,12
"138",10827,4.36,43.3628318584071,3,12
"139",10828,2.59,43.3467741935484,3,17
"140",10901,5.21,48.5294117647059,3,66
"141",10902,3.94,39.5748160261652,3,70
"142",10903,2.8,55.7083906464924,3,26
"143",10904,2.18,34.6055979643766,3,23
"144",10905,2.58,40.5882352941176,3,74
"145",10906,2.56,47.5113122171946,3,16
"146",10907,3.13,30.4498269896194,3,39
"147",10908,2.2,44.6735395189003,3,26
"148",10909,4.41,41.1764705882353,3,41
"149",10910,1.99,40.5832320777643,3,21
"150",10911,3.52,41.1174785100287,3,35
"151",10912,3.88,43.3636363636364,3,58
"152",10913,1.81,45.8333333333333,3,10
"153",10914,0.9,45.6175298804781,3,12
"154",10915,1.66,38.7301587301587,3,14
"155",10916,3.97,47.6153244722439,3,74
"156",10917,2.77,44.3165467625899,2,157
"157",10918,3.36,39.8725212464589,2,153
"158",10919,1.87,38.393421884883,3,45
"159",10920,2.61,28.6839145106862,2,35
"160",10921,3.7,41.2571428571429,3,43
"161",10922,3.53,56.140350877193,3,19
"162",10923,2.34,40.8719346049046,3,38
"163",10924,3.01,43.969465648855,3,25
"164",10925,2.42,49.1525423728814,3,16
"165",10926,2.19,50.0934579439252,3,15
"166",10927,1.95,46.0431654676259,3,19
"167",10928,3.09,44.2893401015228,3,35
"168",10929,1.94,38.1443298969072,3,13
"169",10930,2.18,43.1111111111111,3,13
"170",10931,1.63,53.4391534391534,3,4
"171",10932,2.94,46,3,6
"172",20101,4.18,45.7944801087109,1,3077
"173",20201,3.28,41.0865176101099,2,1461
"174",20302,3.04,55.9006211180124,3,31
"175",20305,2.9,44.5165094339623,3,157
"176",20306,2.14,52.322206095791,3,45
"177",20307,2.67,54.816656308266,3,72
"178",20316,2.32,48.9916963226572,3,30
"179",20320,2.5,42.4615384615385,3,24
"180",20321,3.38,70.6777316735823,3,36
"181",20402,2.53,38.6575826394146,3,161
"182",20403,3.75,41.733690795353,3,73
"183",20405,2.59,38.2155907429963,3,142
"184",20409,2.7,49.9644633972992,3,64
"185",20412,4.33,49.9549143372408,3,84
"186",20414,4.41,46.9548133595285,3,105
"187",20415,6.74,51.6044531761624,3,179
"188",20416,4.5,51.1037527593819,3,66
"189",20417,3.8,48.0097481722177,3,75
"190",20418,4.4,49.6103896103896,3,139
"191",20419,4.3,54.3191800878477,3,55
"192",20421,3.1,46.015037593985,3,111
"193",20424,4.93,58.4197924980048,3,110
"194",20425,2.64,46.9248291571754,3,68
"195",20428,3.01,40.8396946564886,3,26
"196",20432,2.35,48.9086499595796,3,46
"197",20435,2.43,45.4265159301131,3,43
"198",20441,2.98,46.984126984127,3,15
"199",20442,3.28,45.7359813084112,3,91
"200",20501,2.6,39.7977941176471,3,99
"201",20502,1.71,41.0518626734843,3,38
"202",20503,0.81,34.320987654321,3,6
"203",20504,2.73,45.531197301855,3,28
"204",20505,2.74,42.433234421365,3,115
"205",20506,1.94,44.987146529563,3,13
"206",20508,2.4,43.6185133239832,3,24
"207",20509,2.58,43.0727023319616,3,31
"208",20511,1.02,28.5511363636364,3,12
"209",20512,2.35,47.5504322766571,3,37
"210",20513,2.26,42.5925925925926,3,33
"211",20515,3.24,38.6723507917174,3,86
"212",20518,2.2,46.9314079422383,3,36
"213",20519,3.23,33.5664335664336,3,27
"214",20520,2.81,41.4634146341463,3,30
"215",20523,2.91,40.7858328721638,3,84
"216",20527,2.98,40.0075987841945,2,289
"217",20530,2.78,45.8490566037736,3,46
"218",20531,1.17,43.7325905292479,3,20
"219",20534,3.12,45.3141640042599,3,90
"220",20601,3.9,45.253164556962,3,50
"221",20602,2.14,36.3128491620112,3,33
"222",20603,1.34,61.5501519756839,3,14
"223",20604,1.83,53.3420707732634,3,24
"224",20605,2.85,51.4809590973202,3,30
"225",20607,1.88,47.2759226713532,3,18
"226",20608,3.28,42.7811550151976,3,70
"227",20609,3.82,44.4839857651246,3,53
"228",20610,2.36,57.6200417536534,3,19
"229",20611,1.74,48.9700374531835,3,28
"230",20613,2.5,42.09726443769,3,24
"231",20616,2.82,40.7239819004525,3,40
"232",20618,5.82,40.4358353510896,3,36
"233",20619,1.47,40.8296943231441,3,24
"234",20620,3.27,52.7954256670902,3,90
"235",20622,1.47,59.367396593674,3,10
"236",20624,1.58,25.748502994012,3,13
"237",20625,2.59,53.0782029950083,3,25
"238",20627,2.44,48.9795918367347,3,43
"239",20630,2.2,39.7117117117117,3,105
"240",20631,1.2,41.6116248348745,3,16
"241",20632,2.72,52.1421107628004,3,40
"242",20633,1.16,38.7878787878788,3,12
"243",20634,3.62,48.14332247557,2,189
"244",20635,3.08,41.0134721371709,2,358
"245",20636,1.64,40.8450704225352,3,21
"246",20637,2.07,41.6419386745796,3,34
"247",20638,2.11,49.3031358885017,3,20
"248",20639,4.17,57.8947368421053,3,26
"249",20640,2.73,46.7924528301887,3,27
"250",20642,1.33,48.8344988344988,3,19
"251",20643,2.83,41.7981072555205,3,63
"252",20644,2.66,39.212175470009,3,47
