"","Name","Wahlberechtigte","Summe","Unterstützungen","Eintragungen","GKZ","number","type1","type2","type3","klasse","pct"
"1","Wien",1146061,69521,37245,32276,"90001",5,1,"0001",1,"bl",3.24982701618849
"2","Niederösterreich",1291779,51411,23661,27750,"30000",5,0,"0000",0,"bl",1.83166005949934
"3","Österreich",6382377,250239,114703,135536,"0",5,0,"0000",0,"at",1.79718308711629
"4","Steiermark",961987,32049,14342,17707,"60000",5,0,"0000",0,"bl",1.49087253777858
"5","Oberösterreich",1102458,41539,15898,25641,"40000",5,0,"0000",0,"bl",1.44205040010595
"6","Kärnten",436133,12969,6047,6922,"20000",5,0,"0000",0,"bl",1.38650365828772
"7","Salzburg",394531,12950,5109,7841,"50000",5,0,"0000",0,"bl",1.29495527601126
"8","Vorarlberg",274420,7160,3526,3634,"80000",5,0,"0000",0,"bl",1.28489177173675
"9","Burgenland",232935,7298,2808,4490,"10000",5,0,"0000",0,"bl",1.20548650911198
"10","Tirol",542073,15342,6067,9275,"70000",5,0,"0000",0,"bl",1.11922194981119
